Year,Model,Total_Price(RM),Price_per_month(RM),Mileage(km),Transmission,Location,Highlight,URL,Brand
2020,axia gxtra 1.0,32400.0,343.0,64476.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/czjq400,Perodua
2014,vios j 1.5,34400.0,467.0,151023.0,A,"carsome pj automall, selangor 14,748.1 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2014-toyota-vios-j-1.5/cmmo400,Toyota
2020,civic tc vtec 1.5,90900.0,941.0,98955.0,A,"carsome pj automall, selangor 14,748.1 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2020-honda-civic-tc-vtec-1.5/c5cp400,Honda
2021,myvi av 1.5,48900.0,536.0,39428.0,A,"carsome showroom kota kinabalu, sabah 13,814.5 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/c8rs400,Perodua
2022,x50 tgdi flagship 1.5,75900.0,788.0,26634.0,A,"carsome showroom kota kinabalu, sabah 13,814.5 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-tgdi-flagship-1.5/cdqs400,Proton
2020,myvi g 1.3,38900.0,395.0,96111.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-g-1.3/cb1q400,Perodua
2019,serena s-hybrid high-way star 2.0,81800.0,864.0,90467.0,A,"carsome showroom kota bharu, kelantan 14,408.9 km
          away",family drive,https://www.carsome.my/buy-car/nissan/serena/2019-nissan-serena-s-hybrid-high-way-star-2.0/c39n400,Nissan
2016,bezza x premium 1.3,28800.0,364.0,135487.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2016-perodua-bezza-x-premium-1.3/cmhp400,Perodua
2018,cr-v tc-p vtec 1.5,90400.0,1028.0,99580.0,A,"carsome showroom setia spice, pulau pinang 14,555.5 km
          away",compact suv,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-p-vtec-1.5/c9zq400,Honda
2024,x50 tgdi flagship 1.5,85000.0,931.0,22508.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x50/2024-proton-x50-tgdi-flagship-1.5/c1kq400,Proton
