Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2016,Perodua AXIA Advance 1.0,"RM
          27,800",RM 333,"101,421 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2016-perodua-axia-advance-1.0/cyio400
2016,Mazda CX-3 SKYACTIV 2.0,"RM
          55,400",RM 652,"162,174 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-3/2016-mazda-cx-3-skyactiv-2.0/ccio400
2018,Perodua Bezza X Premium 1.3,"RM
          33,400",RM 401,"103,498 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cb6o400
2017,Perodua Myvi SE 1.5,"RM
          35,400",RM 472,"83,431 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-se-1.5/cs6p400
2020,Perodua Alza Ez 1.5,"RM
          45,800",RM 466,"120,531 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2020-perodua-alza-ez-1.5/cj8p400
2022,Honda CR-V TC-P VTEC 1.5,"RM
          121,400","RM 1,236","45,158 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2022-honda-cr-v-tc-p-vtec-1.5/ciuo400
2022,Toyota Corolla Cross V 1.8,"RM
          99,800","RM 1,062","50,028 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/corolla-cross/2022-toyota-corolla-cross-v-1.8/cbap400
2017,Honda Civic TC VTEC Premium 1.5,"RM
          78,900","RM 1,052","83,935 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2017-honda-civic-tc-vtec-premium-1.5/ctmo400
2021,Toyota Avanza S 1.5,"RM
          63,900",RM 700,"42,178 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Family Drive,https://www.carsome.my/buy-car/toyota/avanza/2021-toyota-avanza-s-1.5/ca7q400
2022,Mercedes-Benz C200 Avantgarde 1.5,"RM
          198,000","RM 2,057","47,868 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/mercedes-benz/c200/2022-mercedes-benz-c200-avantgarde-1.5/colk400
